script,region,img_size,threads,mean,ci
mandelbrot_omp,seahorse,128,2,0.012587328,4.759041100773761e-5
mandelbrot_omp,seahorse,128,4,0.009216299,0.00030846535029060697
mandelbrot_omp,seahorse,128,8,0.008908517,0.00019215015025076762
mandelbrot_omp,seahorse,128,16,0.00897042,0.0001395540903566646
mandelbrot_omp,seahorse,128,32,0.009384138,0.00017449046974914257
mandelbrot_omp,seahorse,256,1,0.080866813,0.00012530442493746777
mandelbrot_omp,seahorse,256,2,0.048575719,0.0004425808756317364
mandelbrot_omp,seahorse,256,4,0.032313574,0.0007029884392838644
mandelbrot_omp,seahorse,256,8,0.030049283,0.0003184830294043104
mandelbrot_omp,seahorse,256,16,0.029158302,0.00030542529759912754
mandelbrot_omp,seahorse,256,32,0.029558911,0.00018870426932599777
mandelbrot_omp,seahorse,512,1,0.321054167,0.0004974785858039534
mandelbrot_omp,seahorse,512,2,0.185109604,6.883927273242946e-5
mandelbrot_omp,seahorse,512,4,0.112711163,0.0004331264360584549
mandelbrot_omp,seahorse,512,8,0.111752251,0.0006510887700842719
mandelbrot_omp,seahorse,512,16,0.108914874,0.0005130466510071141
mandelbrot_omp,seahorse,512,32,0.109945467,0.0005315302703072889
mandelbrot_omp,seahorse,1024,1,1.297468867,0.0038600617695556953
mandelbrot_omp,seahorse,1024,2,0.736455291,0.00013693791552919562
mandelbrot_omp,seahorse,1024,4,0.447341022,0.0007208885787690815
mandelbrot_omp,seahorse,1024,8,0.431403088,0.0013636706611709693
mandelbrot_omp,seahorse,1024,16,0.422938158,0.0006553494654513204
mandelbrot_omp,seahorse,1024,32,0.42117977,0.00031325991120819335
mandelbrot_omp,seahorse,2048,1,5.100295828,0.0018967176631190037
